what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341270873670
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341270874919
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341271483342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341271484374
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341271484976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341271486163
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341271486235
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1341271490472
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341271496614
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341271657700
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1341271657712
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341272884188
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341272919475
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341272920418
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341311646422
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1341311648029
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1341311651091
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1341311656891
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1341311688141
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341311694922
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341312419088
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1341312460182
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1341312460328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341312462667
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341312464198
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341312464332
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1341312464544
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1341312464708
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1341312464709
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1341312464710
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1341312464710
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1341312464711
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1341312464712
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1341312464712
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1341312464713
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1341312464713
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1341312464714
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1341312464714
